block	section	size	class	owner runs in address order: owner[status start..end bytes]	notes
auto_06_80223C70_bss	.bss	250136	C	PGATourSimulation[linked-unit 0x80223c70..0x80250080 181264B] ; SkinMorph[linked-unit 0x80250080..0x802602c0 66112B] ; GoGrass[linked-unit 0x802602c0..0x802607d0 1296B] ; GoShaderObject_Grass_Gc[unlinked-unit 0x802607d0..0x80260cb8 1256B] ; ?GameMode4Menu|auto_01_80121430_text|auto_01_80121770_text|LadderMap[ambiguous 0x80260cb8..0x80260d88 208B]	16 syms (16 sized); between GameModeDriver[L] and TibExt[L]
auto_06_801A3728_bss	.bss	87168	B	streammanagerhole[unlinked-unit 0x801a3728..0x801b8ba8 87168B]	5 syms (5 sized); between Controller_Gc[L] and ViewController[L]
auto_06_801C64D8_bss	.bss	68720	C	Golfer[unlinked-unit 0x801c64d8..0x801cdd80 30888B] ; ?Golfer|GoTerrain[ambiguous 0x801cdd80..0x801d3950 23504B] ; GoRenderSurface[linked-unit 0x801d3950..0x801d3a30 224B] ; GoTerrain[unlinked-unit 0x801d3a30..0x801d4e78 5192B] ; Skin[unlinked-unit 0x801d4e78..0x801d4f68 240B] ; ?GxUtil|gomainloop|auto_01_8006DCA8_text[ambiguous 0x801d4f68..0x801d4f80 24B] ; GoPostFx[linked-unit 0x801d4f80..0x801d5110 400B] ; DepthField[unlinked-unit 0x801d5110..0x801d5228 280B] ; UKernel[linked-unit 0x801d5228..0x801d53a8 384B] ; GoTerrainCollision[unlinked-unit 0x801d53a8..0x801d5888 1248B] ; ?GoTerrainCollision|Ball[ambiguous 0x801d5888..0x801d5908 128B] ; PasswordManager[linked-unit 0x801d5908..0x801d5968 96B] ; Swing[unlinked-unit 0x801d5968..0x801d5ab0 328B] ; ?event|auto_01_80067560_text|auto_01_80067710_text|Code80067710[ambiguous 0x801d5ab0..0x801d5bf0 320B] ; target[unlinked-unit 0x801d5bf0..0x801d5f78 904B] ; emotion[linked-unit 0x801d5f78..0x801d6030 184B] ; Replay[linked-unit 0x801d6030..0x801d6f58 3880B] ; GoLighting[linked-unit 0x801d6f58..0x801d70a8 336B] ; Code8006F154[linked-unit 0x801d70a8..0x801d7100 88B] ; GoShaderObjectContainer_OBFData_Gc[unlinked-unit 0x801d7100..0x801d7120 32B] ; LLVideo[linked-unit 0x801d7120..0x801d7148 40B]	43 syms (43 sized); between GxUtil[L] and FE_Manager[L]
auto_06_801E1470_bss	.bss	66336	C	?SunFlr_Gc|Code8009AA28|auto_01_8009AA28_text|unsorted/sweep_8009B314[ambiguous 0x801e1470..0x801e3068 7160B] ; GoGreenGrid[unlinked-unit 0x801e3068..0x801e3180 280B] ; MC_Gc[linked-unit 0x801e3180..0x801f1100 57216B] ; MC[unlinked-unit 0x801f1100..0x801f1640 1344B] ; PsMgr[unlinked-unit 0x801f1640..0x801f1708 200B] ; PsBallFx[unlinked-unit 0x801f1708..0x801f1790 136B]	11 syms (11 sized); between BootCourse[L] and GameAudio[L]
auto_06_801B9730_bss	.bss	52600	C	skalib[unlinked-unit 0x801b9730..0x801c6498 52584B] ; Skeleton[linked-unit 0x801c6498..0x801c64a8 16B]	12 syms (12 sized); between mtalib[L] and GxUtil[L]
auto_06_801FA1F8_bss	.bss	34464	C	CourseData[linked-unit 0x801fa1f8..0x801ffae8 22768B] ; Earnings[unlinked-unit 0x801ffae8..0x80202828 11584B] ; GameHoleContests[unlinked-unit 0x80202828..0x80202898 112B]	42 syms (42 sized); between GoGolfCam[NL] and GameEffects[L]
auto_06_8019D540_bss	.bss	20344	C	LLFileIO_Gc[unlinked-unit 0x8019d540..0x801a2350 19984B] ; LLDisp_Gc[unlinked-unit 0x801a2350..0x801a24a0 336B] ; unsorted/code_800080D0[unplaced 0x801a24a0..0x801a24b8 24B]	11 syms (11 sized); between None[NL] and urandom[L]
auto_04_8017E938_rodata	.rodata	19336	C	gocamscripts[unlinked-unit 0x8017e938..0x8017e9b8 128B] ; ?gocamscripts|GoDynObj|GoTerrainCollision|Ball[ambiguous 0x8017e9b8..0x80181328 10608B] ; Ball[unlinked-unit 0x80181328..0x801834c0 8600B]	32 syms (32 sized); between GoDynamicCam[L] and PasswordManager[L]
auto_06_801F17D0_bss	.bss	17464	C	hlaudmovie[unlinked-unit 0x801f17d0..0x801f1868 152B] ; hlaudtrack[linked-unit 0x801f1868..0x801f1880 24B] ; hlaudtrackseq[unlinked-unit 0x801f1880..0x801f18b8 56B] ; hlaudtrackstm[unlinked-unit 0x801f18b8..0x801f19b8 256B] ; hlaudvoice[linked-unit 0x801f19b8..0x801f2668 3248B] ; hlaudemitter[linked-unit 0x801f2668..0x801f5b40 13528B] ; uiobject[linked-unit 0x801f5b40..0x801f5c08 200B]	11 syms (11 sized); between GameAudio[L] and AudReverb[L]
auto_05_80195F60_data	.data	14688	S	sdk-dataonly[sdk-dataonly 0x80195f60..0x801998c0 14688B]	2 syms (2 sized); between src/ax/AXVPB[L] and src/axfx/reverb_hi[L]
auto_06_80203170_bss	.bss	11624	A	GameMode5[linked-unit 0x80203170..0x80205ed8 11624B]	2 syms (2 sized); between GameModeBattle[L] and GameModeDriverPGATour[L]
auto_05_80189DA8_data	.data	10544	C	SunFlr_Gc[unlinked-unit 0x80189da8..0x80189e78 208B] ; Code8009AA28[linked-unit 0x80189e78..0x8018c6c8 10320B] ; GoGreenGrid[unlinked-unit 0x8018c6c8..0x8018c6d8 16B]	6 syms (6 sized); between UFstPart[L] and MC_Gc[L]
auto_05_8018C7C8_data	.data	8640	C	!out-of-order[out-of-order 0x8018c7c8..0x8018c828 96B] ; MC[unlinked-unit 0x8018c828..0x8018c868 64B] ; PsBallFx[unlinked-unit 0x8018c868..0x8018e988 8480B]	11 syms (11 sized); between MC_Gc[L] and GameAudio[L]
auto_06_801D97E0_bss	.bss	8384	C	GoShaderObject_Particle_Gc[unlinked-unit 0x801d97e0..0x801d9908 296B] ; !out-of-order[out-of-order 0x801d9908..0x801d99d0 200B] ; GoShaderObject_Glows_Gc[unlinked-unit 0x801d99d0..0x801d9a68 152B] ; !out-of-order[out-of-order 0x801d9a68..0x801db878 7696B] ; UFstPart[linked-unit 0x801db878..0x801db8a0 40B]	8 syms (8 sized); between GoObjShadow[L] and BootCourse[L]
auto_06_80211D38_bss	.bss	7720	C	?GameModeReplay|GameTargets[ambiguous 0x80211d38..0x80211fb8 640B] ; GameMode14[linked-unit 0x80211fb8..0x802120f8 320B] ; GameMode8[linked-unit 0x802120f8..0x80212418 800B] ; GameMode12[linked-unit 0x80212418..0x802124b8 160B] ; GameMode4[linked-unit 0x802124b8..0x80212b60 1704B] ; unsorted/sweep_8010FF5C[unplaced 0x80212b60..0x80213b60 4096B]	7 syms (7 sized); between GameModeDriverRTE[L] and DiscCheck[L]
auto_06_801F66A8_bss	.bss	7600	C	DiscError[unlinked-unit 0x801f66a8..0x801f6858 432B] ; rcmp_mad_codec[unlinked-unit 0x801f6858..0x801f8458 7168B]	11 syms (11 sized); between GoARAM[L] and Trax[L]
auto_05_8018FFC8_data	.data	4928	C	DiscError[unlinked-unit 0x8018ffc8..0x80190fe0 4120B] ; rcmp_mad_codec[unlinked-unit 0x80190fe0..0x801910f8 280B] ; SitDevFile[unlinked-unit 0x801910f8..0x80191308 528B]	29 syms (29 sized); between GoARAM[L] and GoGolfCam[NL]
auto_04_80183BC8_rodata	.rodata	4256	C	GoComicCam[unlinked-unit 0x80183bc8..0x80183c78 176B] ; rcmp_mad_codec[unlinked-unit 0x80183c78..0x80184c68 4080B]	7 syms (7 sized); between uiobject[L] and Trax[L]
auto_06_801D77A8_bss	.bss	3936	C	FE_MessageTable[unlinked-unit 0x801d77a8..0x801d83b0 3080B] ; GameUICommands[linked-unit 0x801d83b0..0x801d8708 856B]	2 syms (2 sized); between FE_Manager[L] and FEgolferanim[L]
auto_05_8018F040_data	.data	3672	B	startUp[unlinked-unit 0x8018f040..0x8018fe98 3672B]	2 syms (2 sized); between AudReverb[L] and startUp[NL]; startUp already has a .data split
auto_05_80194810_data	.data	2808	B	gbacable[unlinked-unit 0x80194810..0x80195308 2808B]	40 syms (40 sized); between TibExt[L] and EASportsBio[L]
auto_06_801A2A00_bss	.bss	2648	C	TerrainData[unlinked-unit 0x801a2a00..0x801a2ac0 192B] ; -[unref 0x801a2ac0..0x801a3438 2424B] ; LLTex[unlinked-unit 0x801a3438..0x801a3458 32B]	9 syms (9 sized); between LoadData[L] and LLTexGrp[L]
auto_06_801D87A8_bss	.bss	2632	C	uiLoadFile[unlinked-unit 0x801d87a8..0x801d87c0 24B] ; uiProcessInterface[unlinked-unit 0x801d87c0..0x801d8818 88B] ; fe_movies[linked-unit 0x801d8818..0x801d8890 120B] ; ?uiProcessInterface|fe_movies|auto_01_80091EE8_text[ambiguous 0x801d8890..0x801d8ed0 1600B] ; uiProcessInterface[unlinked-unit 0x801d8ed0..0x801d91f0 800B]	7 syms (7 sized); between FEgolferanim[L] and uiTransform[L]
auto_04_8017DDC8_rodata	.rodata	2248	C	ska_shared[unlinked-unit 0x8017ddc8..0x8017e020 600B] ; skalib[unlinked-unit 0x8017e020..0x8017e1b0 400B] ; GoTerrain[unlinked-unit 0x8017e1b0..0x8017e1c0 16B] ; Skin[unlinked-unit 0x8017e1c0..0x8017e690 1232B]	34 syms (34 sized); between mtalib[L] and GoDynamicCam[L]
auto_05_80193188_data	.data	2120	C	!out-of-order[out-of-order 0x80193188..0x801931e0 88B] ; uiArc[unlinked-unit 0x801931e0..0x80193228 72B] ; FE_CrAPDB[unlinked-unit 0x80193228..0x801939d0 1960B]	18 syms (18 sized); between GameMode4[L] and FE_CrAPMessages[L]
auto_05_801917D0_data	.data	2112	C	!out-of-order[out-of-order 0x801917d0..0x80191a08 568B] ; Earnings[unlinked-unit 0x80191a08..0x80192010 1544B]	48 syms (48 sized); between CourseData[L] and GameManager[L]
auto_05_80186AF0_data	.data	1536	C	GoRenderCtx_Gc[linked-unit 0x80186af0..0x80186bd8 232B] ; streammanagerhole[unlinked-unit 0x80186bd8..0x80186cc8 240B] ; !out-of-order[out-of-order 0x80186cc8..0x801870f0 1064B]	27 syms (27 sized); between GoRenderCtx_Gc[L] and char_tex_manager[L]; GoRenderCtx_Gc already has a .data split
auto_05_80188E78_data	.data	1528	C	GoShaderObject_PrelitUVAnimation_Gc[linked-unit 0x80188e78..0x801893f0 1400B] ; GoShaderObjectCommon_ShaderObjectsData_Gc[unlinked-unit 0x801893f0..0x80189470 128B]	6 syms (6 sized); between GoShaderObject_PrelitUVAnimation_Gc[L] and LLVideo[L]; GoShaderObject_PrelitUVAnimation_Gc already has a .data split
auto_06_801F5DA8_bss	.bss	1424	C	startUp[unlinked-unit 0x801f5da8..0x801f5e20 120B] ; shadow[unlinked-unit 0x801f5e20..0x801f6320 1280B] ; GoShaderObject_Rain_Gc[unlinked-unit 0x801f6320..0x801f6338 24B]	3 syms (3 sized); between AudReverb[L] and AudLock[L]
auto_05_80188900_data	.data	1304	B	GoShaderObjectContainer_OBFData_Gc[unlinked-unit 0x80188900..0x80188e18 1304B]	2 syms (2 sized); between GoLighting[L] and DynamicRenderingBuffer[L]
auto_09_80283288_sdata2	.sdata2	1120	C	GoTerrainCollision[unlinked-unit 0x80283288..0x80283300 120B] ; Swing[unlinked-unit 0x80283300..0x80283304 4B] ; !out-of-order[out-of-order 0x80283304..0x80283308 4B] ; Ball[unlinked-unit 0x80283308..0x802835a8 672B] ; LLPictInt[unlinked-unit 0x802835a8..0x802835b0 8B] ; Swing[unlinked-unit 0x802835b0..0x802836e8 312B]	267 syms (267 sized); between GoDynObjTypes[L] and GoCamCont[L]
auto_06_801D9278_bss	.bss	1088	B	goballfx[unlinked-unit 0x801d9278..0x801d96b8 1088B]	5 syms (5 sized); between uiTransform[L] and GoObjShadow[L]
auto_05_80188138_data	.data	1008	C	fe_craputils[linked-unit 0x80188138..0x80188148 16B] ; Swing[unlinked-unit 0x80188148..0x8018830c 452B] ; !out-of-order[out-of-order 0x8018830c..0x8018838c 128B] ; Swing[unlinked-unit 0x8018838c..0x80188528 412B]	13 syms (13 sized); between PasswordManager[L] and GoCamCont[L]
auto_05_80194180_data	.data	888	A	fe_stats[linked-unit 0x80194180..0x801944f8 888B]	32 syms (32 sized); between SkinMorph[L] and EventInfo[L]
