block	section	addr	symbol	size	eff_size	resolved_owner	all_referencing_units
auto_06_80223C70_bss	.bss	0x80223c70	lbl_80223C70	0x400	0x400	PGATourSimulation	PGATourSimulation
auto_06_80223C70_bss	.bss	0x80224070	lbl_80224070	0x2800	0x2800	PGATourSimulation	PGATourSimulation
auto_06_80223C70_bss	.bss	0x80226870	lbl_80226870	0x2515c	0x2515c	PGATourSimulation	PGATourSimulation
auto_06_80223C70_bss	.bss	0x8024b9cc	lbl_8024B9CC	0x46b4	0x46b4	PGATourSimulation	PGATourSimulation
auto_06_80223C70_bss	.bss	0x80250080	lbl_80250080	0x10240	0x10240	SkinMorph	SkinMorph
auto_06_80223C70_bss	.bss	0x802602c0	lbl_802602C0	0xa0	0xa0	GoGrass	GoGrass
auto_06_80223C70_bss	.bss	0x80260360	lbl_80260360	0x2c	0x2c	GoGrass	GoGrass
auto_06_80223C70_bss	.bss	0x8026038c	lbl_8026038C	0x24	0x24	GoGrass	GoGrass
auto_06_80223C70_bss	.bss	0x802603b0	lbl_802603B0	0x420	0x420	GoGrass	GoGrass,auto_01_80120194_text
auto_06_80223C70_bss	.bss	0x802607d0	lbl_802607D0	0x100	0x100	GoShaderObject_Grass_Gc	GoShaderObject_Grass_Gc,auto_01_80120E24_text
auto_06_80223C70_bss	.bss	0x802608d0	lbl_802608D0	0x10	0x10	GoShaderObject_Grass_Gc	GoShaderObject_Grass_Gc,auto_01_80120E24_text
auto_06_80223C70_bss	.bss	0x802608e0	lbl_802608E0	0x20	0x20	GoShaderObject_Grass_Gc	GoShaderObject_Grass_Gc,auto_01_80120E24_text
auto_06_80223C70_bss	.bss	0x80260900	lbl_80260900	0x20	0x20	GoShaderObject_Grass_Gc	GoShaderObject_Grass_Gc,auto_01_80120E24_text
auto_06_80223C70_bss	.bss	0x80260920	lbl_80260920	0x20	0x20	GoShaderObject_Grass_Gc	GoShaderObject_Grass_Gc,auto_01_80120E24_text
auto_06_80223C70_bss	.bss	0x80260940	SD_gGrassTypeData	0x378	0x378	GoShaderObject_Grass_Gc	GoShaderObject_Grass_Gc
auto_06_80223C70_bss	.bss	0x80260cb8	lbl_80260CB8	0xd0	0xd0	?GameMode4Menu|auto_01_80121430_text|auto_01_80121770_text|LadderMap	FE_MessageTable,auto_01_80080208_text,auto_01_80121430_text,GameMode4Menu,auto_01_80121770_text,LadderMap
auto_06_801A3728_bss	.bss	0x801a3728	lbl_801A3728	0x11a0	0x11a0	streammanagerhole	LoadData,streammanagerhole,auto_01_800143B8_text,auto_01_80014E98_text,auto_01_8001529C_text,auto_01_80015334_text,auto_01_800153CC_text,FEgolferanim
auto_06_801A3728_bss	.bss	0x801a48c8	lbl_801A48C8	0x38	0x38	streammanagerhole	auto_01_800143B8_text,streammanagerhole,auto_01_80014A64_text
auto_06_801A3728_bss	.bss	0x801a4900	lbl_801A4900	0x14080	0x14080	streammanagerhole	streammanagerhole,auto_01_80015470_text
auto_06_801A3728_bss	.bss	0x801b8980	lbl_801B8980	0x118	0x118	streammanagerhole	Code80012ED0,auto_01_80012F18_text,GoRenderCtx_Gc,streammanagerhole,auto_01_80015470_text,auto_01_80015624_text,auto_01_800162AC_text,GxUtil,auto_01_8002A3AC_text,GoTerrain,Swing,LLVideo
auto_06_801A3728_bss	.bss	0x801b8a98	lbl_801B8A98	0x110	0x110	streammanagerhole	GoRenderCtx_Gc,streammanagerhole,auto_01_80016198_text,auto_01_800162AC_text
auto_06_801C64D8_bss	.bss	0x801c64d8	gSimBestAim	0xc	0xc	Golfer	Golfer
auto_06_801C64D8_bss	.bss	0x801c64e4	gSimBall	0xbc	0xbc	Golfer	Golfer
auto_06_801C64D8_bss	.bss	0x801c65a0	gSimClub	0x18	0x18	Golfer	Golfer
auto_06_801C64D8_bss	.bss	0x801c65b8	gAITargets	0x130	0x130	Golfer	Golfer
