unit	boundary	part (EA file)	part exact?	code KB	data KB	evidence	strength	status
Swing (HELD)	0x8005CCAC / 0x8005D2E4 / 0x8005D44C	GOLFERSTATE_* 8005CCAC-8005D2E4, 8005D2E4-8005D44C, stateFunc.c 8005D44C-80062E40	yes (both bad fns <= 8005AEE0)	~23.0	~0.1 sdata2/sbss + strings	.sdata2 pad 0x80283678->80 (pre <=8005C960, post >=8005D44C); .sbss pads at 0x80281E08 and 0x80281E10; TW07 stateFunc.c pairs 16 fns 8005DED0-80062900 in order	strong	held (report only)
Golfer (HELD)	0x8002DB80 .. 0x8002EE1C	Caddie_* 8002DB80-8002E310 + Player/Bag/Options 8002E310-8002EE1C	yes (bad: 8002C2DC, 8002EF64 outside)	~4.8	~0.1	.sdata2 pads 0x80282EF0 (pre <=8002D994, post >=8002DC50) and 0x80282F20 (pre <=8002E310, post 8002EE1C); .sdata pad 0x802810B8 (post 8002EE1C)	strong (exact start 8002DB80 vs 8002D994..8002DC50 open)	held
Golfer (HELD)	0x8002B030 .. 0x8002C984	8002C8B4?-8002DB80 (powf, Club_*, AI_*Club, Luck_*)	yes if AI_ChooseTarget (8002C2DC) is before the cut	~4.7	~0.1	.data pad after jumptable_80187490 (0x801874B0) and .sdata pad 0x802810B0: pre only 8002B030, post >=8002C984	medium	held
GoTerrainCollision (HELD)	~0x8004D9E0 (TW07 Headgate)	8004C590-80050794 range exact	yes	~16.9	?	TW07 GoTerrainCollision_Headgate.c pair at 8004D9E0 (1 pair, low); no padding marker found	weak	held
Ball (HELD)	0x80055D54 .. 0x80055F1C	Wind.c: Wind_Get 80055F1C-8005620C	yes	0.75	sbss 0x80281DE8.., sdata2 0x80283588..	.sbss pad (byte 0x80281DE4 -> 0x80281DE8) and .sdata2 pad (0x80283580 float size 8): post fns only Wind_*; audit: Ball = Physics.c + Wind.c	strong	held
goballfx (HELD)	0x80093A80	GoLightFogEnv 80093524-80093A80	yes (bad BFX_vRender after)	1.34	sdata 0x80281380..88	.sdata pad 0x80281380 (4byte size 8): pre 80093524-80093580, post BFX_vInit 80093A80; audit: GoLightFogEnv.c beside GoBallFX.c	strong	held
GoShaderObject_Glows_Gc (HELD)	0x800985FC..0x80098740	GlowsRenderData.c + ColGlow.c 80098740-80098A98 (maybe from 800985FC)	yes	0.9-1.2	?	TW07 names GlowsRenderData_*, ColGlow_* (audit P06); no padding marker checked	medium	held
hlaudmovie (HELD)	0x800A925C / 0x800A882C	HLAudTrack TrkRenderStereo etc 800A925C-800A9808; Mas_* 800A85CC-800A882C	yes	1.4 + 0.6	?	audit: Mas_/Mic_/Ses_/Trk_ files; .sdata pad 0x80281468 (pre 800A86BC, post 800A93AC)	medium	held
DiscError	0x800B6FCC or 0x800B70E8	disc-error UI: 800B6FCC/800B70E8-800B769C (sdata 814D0-814E2, sbss 821A0-821A7, data 90DB0-90FDC, sdata2 841B0-841C7)	only if fn_800B6FCC (99.4%, r30/r31 swap) is exact or belongs to the font part	1.46-1.74	~0.6	.sbss pad 0x8028219C (4byte size 8 -> byte at 0x802821A0): font fns use 82188-8219B, 800B7490 uses 821A0/821A4; .data pad 0x80190FDC before codec; .sdata pad 0x802814E2-E8	strong boundary, text cut ambiguous	not linked (needs 800B6FCC; map-10 notes: many tries)
startUp	0x800B1960	UAudVector.c 800B1960-800B1AA8 (+ ball test 800B1AA8-800B1D18, table)	yes	0.3-2.4	0	audit only; no padding marker; table belongs to startUp.c per audit	weak	skip
GoShaderObjectContainer_OBFData_Gc	0x8006FCD4/8006FCDC	OBFData part has bad 8006FDD4	no	-	-	audit lead	-	no gain
GoShaderObject_Grass_Gc	-	GrassPacket_* 80120A40-80120DF8	yes	0.95	?	names only, no TW07 file, no padding marker	weak	skip
char / skalib / SkinPart / AnimStream / GoDynObj / GoStaticCam / hlaudtrackstm / GameMode26 / LLTex / LLFont / TerrainData / LLFileIO_Gc / hwsBurn / UIStudio / UISEvent	-	-	-	-	-	no clean padding boundary with an all-exact side (survey5)	-	none
GoShaderObject_Particle_Gc	0x800952D8	LLTime.c (TI_* x8) 800952D8-8009554C	yes	0.61	0 (sdata 0x802813B0 left orphan: points at 0x110-byte bss larger than ProfClock)	TW07 legacy/ll/LLTime.c same 8 fns in order; .sdata pad 0x802813AC-B0	strong	LINKED fa1d3469
rcmp_mad_codec	0x800B90F4	Code800B90F4.c 800B90F4-800B9FF0 (movie decoder + TEO/BALF + CAP ball)	yes	3.75	0.12 (.data 18, .sdata 32, .sbss 40, .sdata2 24)	.sbss pad 0x802821BC (u8* size 8), ends padded 0x802821E4; codec bss/rodata used only below the cut; "rcmp_mad_codec.c" assert string used only by this part (so EA's rcmp_mad_codec.c is this part; the codec head is TW06 maddec.c/madidct.c)	strong	LINKED 7ab250de
