# The audit baseline (tools/match/auditbaseline.py): what the name and comment audit of EA
# game code checked, fingerprinted at git tag audit-baseline-1 (every game function audited, 100%).
# baseline tag: audit-baseline-1
# One row per game function (kind fn) and per game source file (kind file: the comments outside
# functions, e.g. the unit header). audited_on: exact = the audit read byte-matching C; draft = it
# read our non-exact draft C (re-check the comments once the function matches). comments_sha /
# code_sha: hashes of the comments and of the comment-free code as audited. Not covered: struct
# field comments in headers (phase 3) and the names of globals, types, fields and parameters.
kind	address	unit	file	name	audited_on	tier	decision	comments	comments_sha	code_sha
file	-	AnimStream	src/AnimStream.c	-	exact	-	-	6	859042df781d	-
file	-	AudLock	src/AudLock.c	-	exact	-	-	6	edd25229e554	-
file	-	AudReverb	src/AudReverb.c	-	exact	-	-	13	4bfe7f864b09	-
file	-	AudTable	src/AudTable.c	-	exact	-	-	7	269de0060ac0	-
file	-	Ball	src/Ball.c	-	exact	-	-	314	62604cb9e214	-
file	-	BootCourse	src/BootCourse.c	-	exact	-	-	11	523e4856b732	-
file	-	ByteSwap	src/ByteSwap.c	-	exact	-	-	5	38cf9ca634e6	-
file	-	Calendar	src/Calendar.c	-	exact	-	-	4	b8134977b872	-
file	-	CalendarScreen	src/CalendarScreen.c	-	exact	-	-	4	8089d1d15ec9	-
file	-	CamSpline	src/CamSpline.c	-	exact	-	-	3	159dd8f578ed	-
file	-	CharAnim	src/CharAnim.c	-	exact	-	-	14	3af1df10e3cb	-
file	-	CharSliders	src/CharSliders.c	-	exact	-	-	14	c25ff3d1b405	-
file	-	Code80012ED0	src/Code80012ED0.c	-	exact	-	-	5	85df4a8e0ca1	-
file	-	Code80067710	src/Code80067710.c	-	exact	-	-	6	a1cc21206517	-
file	-	Code8006F154	src/Code8006F154.c	-	exact	-	-	5	2f8bc519d640	-
file	-	Code8006F438	src/Code8006F438.c	-	exact	-	-	11	aa44d417f619	-
file	-	Code80070EC4	src/Code80070EC4.c	-	exact	-	-	6	76075df36903	-
file	-	Code80090940	src/Code80090940.c	-	exact	-	-	5	713da167567f	-
file	-	Code80095564	src/Code80095564.c	-	exact	-	-	3	b7a1697b10ef	-
file	-	Code8009A928	src/Code8009A928.c	-	exact	-	-	17	23dcfee6ad0a	-
file	-	Code8009AA28	src/Code8009AA28.c	-	exact	-	-	11	c5207b0f588e	-
file	-	Code8009B340	src/Code8009B340.c	-	exact	-	-	6	a8eb4c2db1c7	-
file	-	Code800BA940	src/Code800BA940.c	-	exact	-	-	9	013a1cfc2b6f	-
file	-	Common/Checksum/ChecksumCRC32	src/Common/Checksum/ChecksumCRC32.c	-	exact	-	-	9	55e9691d4b0d	-
file	-	Common/Cipher/CipherXOR	src/Common/Cipher/CipherXOR.c	-	exact	-	-	7	31b7b01a9014	-
file	-	Common/SharedFileIO/SharedFileIO	src/Common/SharedFileIO/SharedFileIO.c	-	exact	-	-	25	04c9d50e7af4	-
file	-	Common/TagFile/TagFile	src/Common/TagFile/TagFile.c	-	exact	-	-	37	c3c4955bc40a	-
file	-	Controller_Gc	src/Controller_Gc.c	-	exact	-	-	3	41ef3b06da53	-
file	-	CourseData	src/CourseData.c	-	exact	-	-	3	99482b31d1ee	-
file	-	DepthField	src/DepthField.c	-	exact	-	-	5	3366ac2e50d8	-
file	-	DiscCheck	src/DiscCheck.c	-	exact	-	-	6	74f64a78150e	-
file	-	DiscError	src/DiscError.c	-	exact	-	-	4	f3968229c4bb	-
file	-	DynChain	src/DynChain.c	-	exact	-	-	17	26ca822aa9df	-
file	-	DynamicRenderingBuffer	src/DynamicRenderingBuffer.c	-	exact	-	-	12	b4154d2a0909	-
file	-	EASB	src/EASB.c	-	exact	-	-	3	7046b8b6aaca	-
file	-	EASBStorage	src/EASBStorage.c	-	exact	-	-	16	35d126dcab6e	-
file	-	EASportsBio	src/EASportsBio.c	-	exact	-	-	6	d0bfcc5d1bde	-
file	-	Earnings	src/Earnings.c	-	exact	-	-	12	98d2705c2ec2	-
file	-	EventInfo	src/EventInfo.c	-	exact	-	-	10	356de0457bb7	-
file	-	FE_CrAPDB	src/FE_CrAPDB.c	-	exact	-	-	8	f56041ddddec	-
file	-	FE_CrAPMessages	src/FE_CrAPMessages.c	-	exact	-	-	8	d6e014aaa029	-
file	-	FE_LogoDesign	src/FE_LogoDesign.c	-	exact	-	-	4	3a3baca23449	-
file	-	FE_Manager	src/FE_Manager.c	-	exact	-	-	14	3d82d8b804fd	-
file	-	FE_MessageTable	src/FE_MessageTable.c	-	exact	-	-	63	5a073c42f9d7	-
file	-	FE_PGATourMessages	src/FE_PGATourMessages.c	-	exact	-	-	8	b82546bc108d	-
file	-	FEgolferanim	src/FEgolferanim.c	-	exact	-	-	27	7016188781fb	-
file	-	GameAnalysis	src/GameAnalysis.c	-	exact	-	-	2	87b8bb6c4cdf	-
file	-	GameAudio	src/GameAudio.c	-	exact	-	-	34	cb46f2d716f0	-
file	-	GameEffects	src/GameEffects.c	-	exact	-	-	9	2e78d01feb6c	-
file	-	GameHoleContests	src/GameHoleContests.c	-	exact	-	-	17	c31c761d1049	-
file	-	GameManager	src/GameManager.c	-	exact	-	-	14	514b9353a6cc	-
file	-	GameMessages	src/GameMessages.c	-	exact	-	-	6	eaad6f95ca40	-
file	-	GameMode11	src/GameMode11.c	-	exact	-	-	33	1678af713fa3	-
file	-	GameMode12	src/GameMode12.c	-	exact	-	-	12	fa41af81cac1	-
file	-	GameMode13	src/GameMode13.c	-	exact	-	-	9	0d6d8353fd7b	-
file	-	GameMode14	src/GameMode14.c	-	exact	-	-	14	908fe7ea1961	-
file	-	GameMode15	src/GameMode15.c	-	exact	-	-	11	9337ed62e7ae	-
file	-	GameMode16	src/GameMode16.c	-	exact	-	-	8	a746a75a1bc8	-
file	-	GameMode17	src/GameMode17.c	-	exact	-	-	7	22d700c6e5d8	-
file	-	GameMode2	src/GameMode2.c	-	exact	-	-	5	d53bf2c9fda7	-
file	-	GameMode22	src/GameMode22.c	-	exact	-	-	5	9e83c0a58833	-
file	-	GameMode26	src/GameMode26.c	-	exact	-	-	7	e6a684220d21	-
file	-	GameMode4	src/GameMode4.c	-	exact	-	-	27	deb66687ae86	-
file	-	GameMode4Menu	src/GameMode4Menu.c	-	exact	-	-	4	1a742e4b601a	-
file	-	GameMode5	src/GameMode5.c	-	exact	-	-	6	57e4efc595ca	-
file	-	GameMode6	src/GameMode6.c	-	exact	-	-	2	9a91c859bdb8	-
file	-	GameMode7	src/GameMode7.c	-	exact	-	-	2	d94f9ac35a61	-
file	-	GameMode8	src/GameMode8.c	-	exact	-	-	20	de945f1f5199	-
file	-	GameMode9	src/GameMode9.c	-	exact	-	-	4	c96231c23050	-
file	-	GameModeAlternateShot	src/GameModeAlternateShot.c	-	exact	-	-	4	5561bda93345	-
file	-	GameModeBattle	src/GameModeBattle.c	-	exact	-	-	8	9981572701a2	-
file	-	GameModeBestBall	src/GameModeBestBall.c	-	exact	-	-	2	6b4701ea3140	-
file	-	GameModeDriver	src/GameModeDriver.c	-	exact	-	-	10	eb459f64c71f	-
file	-	GameModeDriverPGATour	src/GameModeDriverPGATour.c	-	exact	-	-	16	5a1a0f1d3320	-
file	-	GameModeDriverRTE	src/GameModeDriverRTE.c	-	exact	-	-	11	d98ed86ba93f	-
file	-	GameModeFourBall	src/GameModeFourBall.c	-	exact	-	-	8	beac32f451b2	-
file	-	GameModeMatch	src/GameModeMatch.c	-	exact	-	-	5	a9a927d4d506	-
file	-	GameModeReplay	src/GameModeReplay.c	-	exact	-	-	9	d59b31b238ca	-
file	-	GameModeStableford	src/GameModeStableford.c	-	exact	-	-	5	675c55115f2c	-
file	-	GameModeStroke	src/GameModeStroke.c	-	exact	-	-	4	4edb3bbc8cc5	-
file	-	GameRound	src/GameRound.c	-	exact	-	-	15	4ae01e27198a	-
file	-	GameTargets	src/GameTargets.c	-	exact	-	-	7	15cb5301804a	-
file	-	GameUI	src/GameUI.c	-	exact	-	-	6	ea4a6799f6aa	-
file	-	GameUICommands	src/GameUICommands.c	-	exact	-	-	21	2f1b8ec34dc5	-
file	-	GoARAM	src/GoARAM.c	-	exact	-	-	3	848f794c9206	-
file	-	GoAnimalActors	src/GoAnimalActors.c	-	exact	-	-	10	2f3f94df5b69	-
file	-	GoBreakLine	src/GoBreakLine.c	-	exact	-	-	9	a798f663b2b3	-
file	-	GoCamCont	src/GoCamCont.c	-	exact	-	-	14	a6195eaebf78	-
file	-	GoCamTuningVars	src/GoCamTuningVars.c	-	exact	-	-	2	add4077b550a	-
file	-	GoCamera	src/GoCamera.c	-	exact	-	-	13	c1af630ae78b	-
file	-	GoComicCam	src/GoComicCam.c	-	exact	-	-	4	692261f97d4e	-
file	-	GoDynObj	src/GoDynObj.c	-	exact	-	-	18	18b1fd28b358	-
file	-	GoDynObjBase	src/GoDynObjBase.c	-	exact	-	-	5	3cb36533e771	-
file	-	GoDynObjTypes	src/GoDynObjTypes.c	-	exact	-	-	5	a3a659597500	-
file	-	GoDynamicCam	src/GoDynamicCam.c	-	exact	-	-	13	687e61595aea	-
file	-	GoEntry	src/GoEntry.c	-	exact	-	-	7	72dc762616d1	-
file	-	GoFrameBuf	src/GoFrameBuf.c	-	exact	-	-	3	c09b70733a00	-
file	-	GoGolfCam	src/GoGolfCam.c	-	exact	-	-	35	0b38744ca4bf	-
file	-	GoGrass	src/GoGrass.c	-	exact	-	-	19	eb99ed15158f	-
file	-	GoGreenGrid	src/GoGreenGrid.c	-	exact	-	-	9	52d0e8d47fc8	-
file	-	GoLighting	src/GoLighting.c	-	exact	-	-	13	9cee62e89a9d	-
file	-	GoObjShadow	src/GoObjShadow.c	-	exact	-	-	16	906dbee551af	-
file	-	GoPostFx	src/GoPostFx.c	-	exact	-	-	7	9ffcde89a771	-
file	-	GoRenderCtx_Gc	src/GoRenderCtx_Gc.c	-	exact	-	-	12	3afa03230ca6	-
file	-	GoRenderSurface	src/GoRenderSurface.c	-	exact	-	-	4	75f46d0dd7eb	-
file	-	GoShaderObjectCommon_MorphAnimManager_Gc	src/GoShaderObjectCommon_MorphAnimManager_Gc.c	-	exact	-	-	3	c572d4ac8c0f	-
file	-	GoShaderObjectCommon_ShaderObjectsData_Gc	src/GoShaderObjectCommon_ShaderObjectsData_Gc.c	-	exact	-	-	13	e2cad07c6ff9	-
file	-	GoShaderObjectCommon_TexAnimManager_Gc	src/GoShaderObjectCommon_TexAnimManager_Gc.c	-	exact	-	-	7	cc531d4fa3d8	-
file	-	GoShaderObjectContainer_OBFData_Gc	src/GoShaderObjectContainer_OBFData_Gc.c	-	exact	-	-	7	35c20965f216	-
file	-	GoShaderObject_Glows_Gc	src/GoShaderObject_Glows_Gc.c	-	exact	-	-	10	6e0ce1b8ad6b	-
file	-	GoShaderObject_Grass_Gc	src/GoShaderObject_Grass_Gc.c	-	exact	-	-	5	14e9807c1b07	-
file	-	GoShaderObject_Particle_Gc	src/GoShaderObject_Particle_Gc.c	-	exact	-	-	14	8fd26ae60819	-
file	-	GoShaderObject_PrelitUVAnimation_Gc	src/GoShaderObject_PrelitUVAnimation_Gc.c	-	exact	-	-	12	409d9c4a3e31	-
file	-	GoShaderObject_Rain_Gc	src/GoShaderObject_Rain_Gc.c	-	exact	-	-	8	9a9e7687ca92	-
file	-	GoStaticCam	src/GoStaticCam.c	-	exact	-	-	10	0b87b83d9f5c	-
file	-	GoTerrain	src/GoTerrain.c	-	exact	-	-	14	9b5b17e285a3	-
file	-	GoTerrainCollision	src/GoTerrainCollision.c	-	exact	-	-	20	774bebf2ad57	-
file	-	GoViewport	src/GoViewport.c	-	exact	-	-	2	7f14a310ce94	-
file	-	Golfer	src/Golfer.c	-	exact	-	-	43	61cb9754124d	-
file	-	GxUtil	src/GxUtil.c	-	exact	-	-	6	6dcda2622f3f	-
file	-	HoleScore	src/HoleScore.c	-	exact	-	-	6	86dae043de23	-
file	-	LLDisp_Gc	src/LLDisp_Gc.c	-	exact	-	-	13	9c8f78fcb275	-
file	-	LLDynTex	src/LLDynTex.c	-	exact	-	-	14	0d2d6e991e77	-
file	-	LLFileIO_Gc	src/LLFileIO_Gc.c	-	exact	-	-	11	2f24c32d5ed7	-
file	-	LLFont	src/LLFont.c	-	exact	-	-	10	160e5b461233	-
file	-	LLMem_Gc	src/LLMem_Gc.c	-	exact	-	-	7	81f0cf44c539	-
file	-	LLObj_Gc	src/LLObj_Gc.c	-	exact	-	-	5	235bcf3cba1e	-
file	-	LLPictInt	src/LLPictInt.c	-	exact	-	-	2	c9a4a7b11143	-
file	-	LLPict_Gc	src/LLPict_Gc.c	-	exact	-	-	8	53989d443f62	-
file	-	LLTex	src/LLTex.c	-	exact	-	-	4	74b879af80a5	-
file	-	LLTexGrp	src/LLTexGrp.c	-	exact	-	-	5	5bb9c5a09989	-
file	-	LLVideo	src/LLVideo.c	-	exact	-	-	9	e4ae69b4577c	-
file	-	LadderMap	src/LadderMap.c	-	exact	-	-	3	389758efd3ca	-
file	-	LoadData	src/LoadData.c	-	exact	-	-	10	5073df399540	-
file	-	LogoTexture	src/LogoTexture.c	-	exact	-	-	4	2c764701a5ee	-
file	-	MC	src/MC.c	-	exact	-	-	6	50e6f6d0436f	-
file	-	MC_Gc	src/MC_Gc.c	-	exact	-	-	17	fa0c906a99e8	-
file	-	NGC/SharedFileIO/llSharedFileIO	src/NGC/SharedFileIO/llSharedFileIO.c	-	exact	-	-	9	eacbbc3e6149	-
file	-	ObjList	src/ObjList.c	-	exact	-	-	11	c63423f6eafa	-
file	-	PGATourSimulation	src/PGATourSimulation.c	-	exact	-	-	18	0b64de4e6dd6	-
file	-	PasswordManager	src/PasswordManager.c	-	exact	-	-	5	4d2763354e83	-
file	-	PsBallFx	src/PsBallFx.c	-	exact	-	-	7	bed38d14ac38	-
file	-	PsMgr	src/PsMgr.c	-	exact	-	-	5	ea63a4ce0217	-
file	-	Quaternion	src/Quaternion.c	-	exact	-	-	5	9b4e23b30c7a	-
file	-	Replay	src/Replay.c	-	exact	-	-	9	004fae7a985c	-
file	-	ScreenClear	src/ScreenClear.c	-	exact	-	-	5	2cc774ccd688	-
file	-	ShaderRow0	src/ShaderRow0.c	-	exact	-	-	5	86be1a33502e	-
file	-	ShaderRow19	src/ShaderRow19.c	-	exact	-	-	5	b5cfe2248aed	-
file	-	SitDevFile	src/SitDevFile.c	-	exact	-	-	13	2d78a9477fec	-
file	-	Skeleton	src/Skeleton.c	-	exact	-	-	33	66e653599d2d	-
file	-	Skin	src/Skin.c	-	exact	-	-	31	211e2890ccf9	-
file	-	SkinBurn	src/SkinBurn.c	-	exact	-	-	3	a4bdcad7cc08	-
file	-	SkinMorph	src/SkinMorph.c	-	exact	-	-	1	ea1ff6669b25	-
file	-	SkinPart	src/SkinPart.c	-	exact	-	-	7	1b1fcdbb8f97	-
file	-	StaticMemory	src/StaticMemory.c	-	exact	-	-	20	e15bbed03a82	-
file	-	SunFlr_Gc	src/SunFlr_Gc.c	-	exact	-	-	3	4b8f1f631db9	-
file	-	Swing	src/Swing.c	-	exact	-	-	93	3de89064ef08	-
file	-	SwingTips	src/SwingTips.c	-	exact	-	-	7	5ee9c9509f19	-
file	-	TerrainData	src/TerrainData.c	-	exact	-	-	11	026c9a1775d9	-
file	-	TerrainGround	src/TerrainGround.c	-	exact	-	-	6	5a85e526fc82	-
file	-	TibExt	src/TibExt.c	-	exact	-	-	9	287df504e151	-
file	-	Trax	src/Trax.c	-	exact	-	-	4	4812f826c5a3	-
file	-	UAudContainers	src/UAudContainers.c	-	exact	-	-	4	0f8326a9c976	-
file	-	UAudMemStack	src/UAudMemStack.c	-	exact	-	-	7	c2f4ebd79f13	-
file	-	UFont	src/UFont.c	-	exact	-	-	4	f0fc20953e8a	-
file	-	UFstPart	src/UFstPart.c	-	exact	-	-	6	188c3f2c7f2f	-
file	-	UISApi	src/UISApi.c	-	exact	-	-	9	a75db15567ad	-
file	-	UISEvent	src/UISEvent.c	-	exact	-	-	9	8bb33b0a3cb5	-
file	-	UISScreen	src/UISScreen.c	-	exact	-	-	14	9b93b2ed14d2	-
file	-	UIStudio	src/UIStudio.c	-	exact	-	-	5	a9d13e27fc53	-
file	-	UKernel	src/UKernel.c	-	exact	-	-	4	b7e0c79fa9e1	-
file	-	UMemPool	src/UMemPool.c	-	exact	-	-	10	9ae7a410ecdc	-
file	-	UObject	src/UObject.c	-	exact	-	-	5	d5da83b25d69	-
file	-	UObject3D	src/UObject3D.c	-	exact	-	-	5	7adda96bd3a9	-
file	-	UStream	src/UStream.c	-	exact	-	-	51	e6b1366f9ee2	-
file	-	VecMath	src/VecMath.c	-	exact	-	-	11	fe7599e281b6	-
file	-	ViewController	src/ViewController.c	-	exact	-	-	10	8e32d60fe4a5	-
file	-	animblender	src/animblender.c	-	exact	-	-	8	5436bce6ee40	-
file	-	char	src/char.c	-	exact	-	-	62	5f1b3024e725	-
file	-	char_tex_manager	src/char_tex_manager.c	-	exact	-	-	3	2ad534d196a2	-
file	-	emotion	src/emotion.c	-	exact	-	-	4	ebd510f28e08	-
file	-	event	src/event.c	-	exact	-	-	6	3759c4005520	-
file	-	fe_craputils	src/fe_craputils.c	-	exact	-	-	3	a18da4489c30	-
file	-	fe_movies	src/fe_movies.c	-	exact	-	-	15	e95a3cd58ae4	-
file	-	fe_stats	src/fe_stats.c	-	exact	-	-	3	6e4104120071	-
file	-	gbacable	src/gbacable.c	-	exact	-	-	4	64d2e9b6004a	-
file	-	goballfx	src/goballfx.c	-	exact	-	-	7	5489138b1659	-
