address	unit	our_name	tw07_name	tw07_file	line	score	conf	evidence
800060E0	LLFileIO_Gc	fn_800060E0	loadActorTemplateCB	GenericActor.cpp	155	8	low	calls:2 strcmp,strcpy; size x1.1
800083A4	GoEntry	fn_800083A4	BlockOnAllJobsComplete	managerplat.cpp	1642	4	low	calls:1 printf; size x1.0
800097CC	StaticMemory	fn_800097CC	CO_TnTestHelp	TigerNetTestHarness.cpp	320	4	low	calls:1 printf; size x1.1
8000B130	urandom	Rand_Next	Misc_RandFunc	URandom.c	90	12	med	callers:14 CharacterState_UpdateSKAState,ComicCam_I; size x2.9
8000B194	urandom	fn_8000B194	Misc_PMRand	URandom.c	161	3	low	size x1.5; gap 1/1
8000B1D4	urandom	fn_8000B1D4	Misc_SetSeedFunc	URandom.c	191	12	med	callers:4 GameModeReplay_SetupNextGolfer,REPLAY_Pl; size x1.8
8000B428	urandom	Rand_Float	Misc_RandFuncg	URandom.c	342	5	low	calls:1 Misc_RandFunc; callers:1 GM_PgaTourSim_SimAdjustEntrantScores; size x5.8
8000D4F0	UStream	UStream_ParseChunks	Stream_ParseBufs	UStream.c	1222	4	low	calls:1 Mem_cpy; size x3.1
8000E148	UStream	UStream_Open	Stream_OpenStreamFiles	UStream.c	2514	4	low	calls:1 Mem_cpy; size x1.7
8000E254	UStream	UStream_OpenFileByName	Stream_OpenStreamFile	UStream.c	2625	4	low	calls:1 memset; size x1.7
8000E2B0	UStream	UStream_RegisterHandler	Stream_RegisterLoadChunkCallback	UStream.c	2660	6	low	callers:2 GameModeDriverPGATour_RegisterStreamClie; size x3.7
8000E358	UStream	UStream_UnregisterHandler	Stream_UnregisterLoadChunkCallback	UStream.c	2714	6	low	callers:2 GameModeDriverPGATour_UnregisterStreamCl; size x1.7
8000E790	UStream	fn_8000E790	Stream_StreamLoadFixedSize	UStream.c	2920	7	low	calls:1 Mem_cpy; callers:1 GameModeDriverPGATour_LoadPGAtFromStream; size x1.5
8000E81C	UStream	fn_8000E81C	Stream_StreamLoadVariableSize	UStream.c	2956	4	low	callers:2 GameModeDriverPGATour_Locale_PgaTourMode; size x5.6
8000FBB0	LLTex	TX_spParseTextureGroupFromStream	TX_spParseTextureGroupFromStream	LLTex.c	306	5	low	file:lltex.c; calls:1 Mem_cpy; size x0.8; same name
800128F8	UFont	UFont_DrawString	FO_vAddStringToDisplayList	UFont.c	649	4	low	calls:1 Mem_cpy; size x1.5
8001497C	streammanagerhole	StreamManagerHole_StreamFiles	Emi_SetTrackVarRangeTmpl	HLAudEmitter.c	585	4	low	calls:1 sprintf; size x1.3
80014A64	streammanagerhole	fn_80014A64	Emi_SetTrackStep	HLAudEmitter.c	619	4	low	calls:1 sprintf; size x1.0
80014BB4	streammanagerhole	fn_80014BB4	Emi_SetTrackAttenuation	HLAudEmitter.c	652	4	low	calls:1 sprintf; size x1.4
