tw04_function	tw04_address	size	tw2005_address
getTiming	8012EBC4	A0	801D9398
__VIInit	8012EC64	200	801D9438
VIInit	8012EE64	4B0	801D9638
VIWaitForRetrace	8012F314	54	801D9AE8
setFbbRegs	8012F368	2D4	801D9B3C
setVerticalRegs	8012F63C	1A0	801D9E10
VIConfigure	8012F7DC	828	801D9FB0
VIFlush	80130004	130	801DA7D8
VISetNextFrameBuffer	80130134	6C	801DA908
VISetBlack	801301A0	7C	801DA974
getCurrentFieldEvenOdd	8013021C	68	801DAA2C
VIGetTvFormat	801303C4	68	801DABC8
SetExiInterruptMask	8013042C	F4	801C1FF0
EXIImm	80130520	25C	801C20E4
EXIImmEx	8013077C	A0	801C2340
EXIDma	8013081C	EC	801C23E0
EXIClearInterrupts	80130B40	48	801C2718
EXISetExiCallback	80130B88	7C	801C2760
__EXIProbe	80130C04	174	801C27DC
EXIProbe	80130D78	80	801C2950
EXIProbeEx	80130DF8	B4	801C29D0
EXIAttach	80130EAC	10C	801C2A84
EXIDetach	80130FB8	BC	801C2B90
EXISelect	80131074	12C	801C2C4C
EXIDeselect	801311A0	110	801C2D78
EXIIntrruptHandler	801312B0	C8	801C2E88
TCIntrruptHandler	80131378	218	801C2F50
EXTIntrruptHandler	80131590	D0	801C3168
EXILock	8013177C	F4	801C340C
EXIUnlock	80131870	DC	801C3500
InitializeUART	80131D08	70	801C3D14
SIIsChanBusy	80131F98	3C	801D7798
CompleteTransfer	80131FD4	2FC	801D77D4
SIInterruptHandler	801322D0	344	801D7AD0
SIEnablePollingInterrupt	80132614	98	801D7E14
SIRegisterPollingHandler	801326AC	CC	801D7EAC
SIUnregisterPollingHandler	80132778	F4	801D7F78
SIInit	8013286C	B4	801D806C
__SITransfer	80132920	20C	801D8120
SIGetStatus	80132B2C	7C	801D832C
SISetXY	80132BCC	6C	801D83CC
SIEnablePolling	80132C38	9C	801D8438
SIDisablePolling	80132CD4	6C	801D84D4
SIGetResponseRaw	80132D40	D4	801D8540
SIGetResponse	80132E14	C4	801D8614
AlarmHandler	80132ED8	8C	801D86D8
SITransfer	80132F64	16C	801D8764
GetTypeCallback	801330D0	298	801D88D0
SIGetType	80133368	1C4	801D8B68
SIGetTypeAsync	8013352C	13C	801D8D2C
SIDecodeType	80133668	14C	801D8E68
SISetSamplingRate	801337D8	E4	801D8FD8
ARStartDMA	8013395C	F0	801AEC68
ARInit	80133A4C	C4	801AED58
__ARHandler	80133B20	78	801AEE2C
__ARChecksize	80133B98	17F4	801AEED4
__ARQServiceQueueLo	8013538C	100	801B06C8
__ARQInterruptServiceRoutine	80135490	CC	801B07CC
ARQInit	8013555C	70	801B0898
ARQPostRequest	801355CC	15C	801B0908
ARQRemoveRequest	80135728	E8	801B0A64
__AXServiceCallbackStack	80135864	74	801B0BD4
__AXAllocInit	801358D8	B4	801B0C48
__AXRemoveFromStack	801359D8	94	801B0D48
AXAcquireVoice	80135A6C	174	801B0DDC
__AXAuxInit	80135BE0	E4	801B0F50
__AXProcessAux	80135E1C	23C	801B118C
__AXGetCommandListAddress	8013606C	3C	801B13DC
__AXNextFrame	801360A8	6B0	801B1418
__AXDSPResumeCallback	8013698C	58	801B1D80
__AXPrintStudio	80136E08	3F8	801B2284
__AXDepopVoice	8013722C	94	801B26A8
AXSetVoiceSrcType	80137E70	C4	801B3354
AXSetVoiceState	80137F34	5C	801B3418
AXSetVoiceType	80137F90	4C	801B3474
AXSetVoiceAdpcm	80137FDC	A4	801B34C0
AXSetVoiceAdpcmLoop	80138118	6C	801B35FC
__AXGetCurrentProfile	80138184	48	801B3668
DoCrossTalk	801386B8	190	801B3C38
HandleReverb	80138848	50C	801B3DC8
AXFXReverbHiInit	80138D54	70	801B43F8
AXFXDelayCallback	80138EC8	1D0	801B456C
AXFXDelayInit	8013929C	48	801B4A04
__DBExceptionDestinationAux	801394E8	48	801BBD70
DSPInit	801395F8	C4	801BD1B8
DSPAddTask	801396C4	70	801BD284
DSPAssertTask	80139734	C8	801BD2F4
__DSPHandler	8013984C	424	801BD40C
__DSP_exec_task	80139C70	1A0	801BD830
__DSP_boot_task	80139E10	18C	801BD9D0
__DSP_insert_task	80139F9C	A0	801BDB5C
__DSP_remove_task	8013A03C	94	801BDBFC
__DVDInitWA	8013A0D0	40	801C11AC
__DVDInterruptHandler	8013A110	2E0	801C11EC
AlarmHandler	8013A3F0	84	801C14CC
AlarmHandlerForTimeout	8013A474	70	801C1550
Read	8013A4E4	110	801C15C0
SeekTwiceBeforeRead	8013A5F4	80	801C16D0
DVDLowRead	8013A674	298	801C1750
DVDLowSeek	8013A90C	94	801C19E8
DVDLowReadDiskID	8013A9CC	A4	801C1AA8
DVDLowInquiry	8013AB88	9C	801C1C64
DVDLowAudioStream	8013AC24	98	801C1D00
DVDLowRequestAudioStatus	8013ACBC	8C	801C1D98
DVDLowAudioBufferConfig	8013AD48	9C	801C1E24
DVDLowReset	8013ADE4	BC	801C1EC0
__DVDLowSetWAType	8013AECC	44	801C1FAC
__DVDFSInit	8013AF10	38	801BDC90
DVDConvertPathToEntrynum	8013AF48	2F4	801BDCC8
DVDFastOpen	8013B23C	74	801BDFBC
DVDReadAsyncPrio	8013B2D4	C0	801BE054
cbForReadAsync	8013B394	30	801BE114
DVDInit	8013B3C8	CC	801BE148
stateReadingFST	8013B494	94	801BE214
cbForStateReadingFST	8013B528	8C	801BE2A8
cbForStateError	8013B5B4	AC	801BE334
stateTimeout	8013B660	34	801BE3E0
CategorizeError	8013B6BC	B4	801BE43C
cbForStateGettingError	8013B770	294	801BE4F0
cbForUnrecoveredError	8013BA04	68	801BE784
cbForUnrecoveredErrorRetry	8013BA6C	98	801BE7EC
cbForStateGoToRetry	8013BB2C	158	801BE8AC
stateCheckID	8013BC84	E0	801BEA04
cbForStateCheckID2a	8013BDCC	74	801BEB4C
stateCheckID2	8013BE40	38	801BEBC0
cbForStateCheckID1	8013BE78	114	801BEBF8
cbForStateCheckID2	8013BF8C	E4	801BED0C
cbForStateCheckID3	8013C070	FC	801BEDF0
AlarmHandler	8013C16C	44	801BEEEC
stateCoverClosed	8013C1B0	CC	801BEF30
stateCoverClosed_CMD	8013C27C	30	801BEFFC
cbForStateCoverClosed	8013C2AC	70	801BF02C
cbForStateMotorStopped	8013C344	E4	801BF0C4
stateBusy	8013C704	320	801BF3D8
cbForStateBusy	8013CA24	638	801BF6F8
DVDReadAbsAsyncPrio	8013D05C	DC	801BFD30
DVDReadAbsAsyncForBS	8013D138	D0	801BFE0C
DVDReadDiskID	8013D208	D4	801BFEDC
DVDChangeDiskAsync	8013D2DC	110	801C006C
DVDInquiryAsync	8013D3EC	D0	801C017C
DVDReset	8013D4BC	44	801C024C
DVDGetCommandBlockStatus	8013D500	4C	801C0290
DVDGetDriveStatus	8013D54C	AC	801C02DC
DVDCancel	8013D878	AC	801C0664
DVDCancelAll	8013D948	138	801C0734
__DVDPrepareResetAsync	8013DB98	11C	801C0998
__DVDClearWaitingQueue	8013DCB4	38	801C0AB4
__DVDPushWaitingQueue	8013DCEC	68	801C0AEC
__DVDPopWaitingQueue	8013DD54	A0	801C0B54
__DVDCheckWaitingQueue	8013DDF4	58	801C0BF4
__DVDDequeueWaitingQueue	8013DE4C	60	801C0C4C
ErrorCode2Num	8013DEAC	11C	801C0CAC
__DVDStoreErrorCode	8013DFC8	7C	801C0DC8
DVDCompareDiskID	8013E044	F8	801C0E44
__DVDPrintFatalMessage	8013E13C	30	801C0F3C
cb	8013E16C	D8	801C0F6C
__fstLoad	8013E244	168	801C1044
GXInitFifoBase	8013F6B0	6C	801C544C
GXInitFifoPtrs	8013F71C	70	801C54B8
GXSetGPFifo	8013F8A8	178	801C565C
__GXSaveCPUFifoAux	8013FA40	DC	801C57F4
GXGetFifoStatus	8013FB1C	110	801C58D0
GXGetFifoPtrs	8013FC2C	98	801C59E0
__GXFifoInit	8013FDEC	4C	801C5B9C
GXResetWriteGatherPipe	80141170	34	801C71D4
GXDrawDone	8014123C	80	801C740C
GXAdjustForOverscan	8014195C	120	801C7B14
GXGetTexBufferSize	801427D0	15C	801C8AF8
__GetImageTileCount	8014292C	C8	801C8C54
GXInitTexObjCI	80142C68	48	801C8F68
GXInvalidateTexAll	80143284	48	801C9500
GXSetTevDirect	801439A8	48	801C9D30
GXLoadPosMtxImm	80144C7C	50	801CAED0
GXLoadNrmMtxImm	80144CCC	50	801CAF20
GXLoadTexMtxImm	80144D54	B4	801CAFA4
__MIXSetPan	80145998	BC	801CC2D8
MIXInit	80145A54	C8	801CC394
MIXUnMute	80146AE8	30	801CD430
MIXUpdateSettings	80146B18	107C	801CD460
ClearArena	80147E70	128	801CEDF0
InquiryCallback	80147F98	3C	801CEF18
OSExceptionInit	8014834C	280	801CF32C
OSExceptionVector	80148624	9C	801CF604
OSDefaultExceptionHandler	801486C0	58	801CF6A0
OSInitAlarm	80148790	4C	801CF78C
InsertAlarm	801487EC	250	801CF7E8
OSSetAlarm	80148A3C	68	801CFA38
OSCancelAlarm	80148AA4	11C	801CFAA0
DecrementerExceptionCallback	80148BC0	230	801CFBBC
DLInsert	80148E40	AC	801CFE3C
OSAllocFromHeap	80148EEC	FC	801CFEE8
OSFreeToHeap	80148FE8	7C	801CFFE4
OSInitAlloc	80149074	70	801D0070
OSCreateHeap	801490E4	6C	801D00E0
__OSInitAudioSystem	80149170	1BC	801D016C
__OSStopAudioSystem	8014932C	D8	801D0328
DCFlushRange	80149444	30	801D0440
DCStoreRange	80149474	30	801D0470
ICInvalidateRange	801494D0	34	801D04CC
L2GlobalInvalidate	80149550	98	801D054C
DMAErrorHandler	801495E8	160	801D05E4
__OSCacheInit	80149748	F4	801D0744
OSSetCurrentContext	80149A90	5C	801D0A8C
OSSaveContext	80149AF8	80	801D0AF4
OSLoadContext	80149B78	D8	801D0B74
OSInitContext	80149C7C	BC	801D0C78
OSDumpContext	80149D38	2A8	801D0D34
OSSwitchFPUContext	80149FE0	84	801D0FDC
__OSContextInit	8014A064	48	801D1060
OSReport	8014A0AC	80	801D10A8
OSPanic	8014A12C	12C	801D1128
OSSetErrorHandler	8014A258	218	801D1254
__OSUnhandledException	8014A470	2E8	801D146C
OSGetFontEncode	8014A758	58	801D1754
__OSInterruptInit	8014A82C	74	801D1828
SetInterruptMask	8014A8A0	2D8	801D189C
__OSMaskInterrupts	8014AB78	88	801D1B74
__OSUnmaskInterrupts	8014AC00	88	801D1BFC
__OSDispatchInterrupt	8014AC88	344	801D1C84
OnReset	8014B034	3C	801D2030
MEMIntrruptHandler	8014B070	6C	801D206C
OSInitMutex	8014B314	38	801D2308
OSLockMutex	8014B34C	DC	801D2340
OSUnlockMutex	8014B428	C8	801D241C
__OSUnlockAllMutex	8014B4F0	70	801D24E4
__OSCheckMutex	8014B560	100	801D2554
__OSCheckDeadLock	8014B660	38	801D2654
__OSCheckMutexes	8014B698	74	801D268C
OSRegisterResetFunction	8014B8F0	84	801D2700
Reset	8014B974	70	801D2784
__OSDoHotReset	8014B9E4	48	801D27F4
OSGetResetCode	8014BCA4	30	801D2AF4
__OSResetSWInterruptHandler	8014BCD4	F4	801D2B24
OSGetResetButtonState	8014BDC8	298	801D2C8C
WriteSramCallback	8014C060	60	801D2F24
WriteSram	8014C0C0	118	801D2F84
__OSLockSram	8014C30C	5C	801D31D8
__OSLockSramEx	8014C368	5C	801D3234
OSGetSoundMode	8014C724	80	801D3624
OSGetWirelessID	8014C7A4	84	801D36A4
OSSetWirelessID	8014C828	AC	801D3728
OSInitSemaphore	8014C8D4	58	801D38FC
OSWaitSemaphore	8014C92C	70	801D3954
OSSignalSemaphore	8014C99C	60	801D39C4
__OSInitSystemCall	8014CA1C	64	801D3A44
__OSThreadInit	8014CA84	158	801D3AAC
UnsetRun	8014CC78	68	801D3CA0
__OSGetEffectivePriority	8014CCE0	3C	801D3D08
SetEffectivePriority	8014CD1C	1C0	801D3D44
__OSPromoteThread	8014CEDC	50	801D3F04
__OSReschedule	8014D154	30	801D417C
OSCreateThread	8014D184	1E8	801D41AC
OSExitThread	8014D36C	E4	801D4394
OSCancelThread	8014D450	1BC	801D4478
OSResumeThread	8014D60C	288	801D4634
OSSuspendThread	8014D894	170	801D48BC
OSSleepThread	8014DA04	EC	801D4A2C
OSWakeupThread	8014DAF0	104	801D4B18
CheckThreadQueue	8014DBF4	9C	801D4C1C
OSCheckActiveThreads	8014DC90	750	801D4CB8
OSClearStack	8014E3E0	AC	801D5408
__OSGetSystemTime	8014E4AC	64	801D54D4
GetDates	8014E510	19C	801D5538
